Public,Earn,SAT,ACT,Price,Price_with_aid,need_fraction,merit_aided
1,59000,1380,30,28100,17300,0.3,0.16
0,63700,1460,33,58600,22400,0.39,0.11
1,60300,1360,30,35700,18200,0.51,0.06
1,51800,1260,29,18500,13400,0.39,0.24
0,63200,1360,31,62800,19000,0.32,0.55
1,55400,1360,31,28100,15300,0.27,0.03
1,55100,1180,26,23900,12800,0.37,0.06
1,53700,1280,28,32500,14900,0.58,0.02
1,49700,1270,29,21400,16100,0.34,0.06
1,50600,1130,24,32900,13200,0.67,0.02
1,51000,1200,26,35100,17700,0.63,0.04
1,55300,1220,25,26900,20100,0.32,0.11
1,54500,1310,28,25300,16200,0.35,0.13
1,52200,1300,28,34300,13600,0.54,0.03
1,53100,1250,29,30300,18300,0.37,0.28
1,56800,1360,29,30800,17700,0.37,0.12
0,47400,1100,26,52400,26500,0.66,0.24
0,58300,1490,33,64800,24200,0.45,0.11
0,45600,1250,29,56700,22400,0.64,0.11
0,53900,1390,32,62500,22600,0.41,0.08
1,54000,1230,28,27800,11300,0.37,0.04
0,58700,1430,33,65000,29500,0.43,0.08
1,63800,1360,30,25700,13300,0.39,0.24
1,47400,1370,30,32400,13500,0.28,0.06
1,49200,1030,22,29300,17900,0.49,0.11
1,52400,1230,28,29400,20800,0.41,0.11
0,61600,1460,32,66600,23700,0.41,0.03
1,49600,1100,23,35600,16100,0.67,0.06
1,56400,1150,25,28100,17700,0.43,0.13
1,58400,1060,22,23600,14400,0.44,0.05
0,48900,1440,32,64100,24300,0.45,0.03
1,46500,1310,30,26700,11900,0.43,0.05
0,50000,1340,31,63400,24500,0.48,0.09
0,41800,1060,26,53900,27900,0.69,0.24
1,53000,1260,28,27400,18300,0.35,0.01
1,56200,1200,27,23900,14300,0.3,0.12
0,43100,1050,23,41100,18800,0.77,0.16
1,50700,1170,27,27300,16800,0.41,0.19
1,49600,1120,26,26400,16100,0.34,0.08
1,47000,1240,28,23600,14500,0.4,0.05
1,51000,1120,24,30700,12600,0.61,0.03
1,50500,1300,28,26700,17000,0.42,0.07
1,54800,1120,23,23100,13000,0.56,0.04
1,66000,1030,22,26900,19700,0.61,0.04
1,50100,1280,28,25400,17600,0.3,0.07
0,49500,1380,29,62100,28500,0.46,0.01
